source_english,reference_hindi,predicted_hindi
A black box in your car?,आपकी कार में ब्लैक बॉक्स?,आपकी कार में एक ब्लैक बॉक्स
"As America's road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","जबकि अमेरिका के सड़क योजनाकार, ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं, वहीं बहुत-से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं, जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है।",जैसे ही अमेरिका के सड़क योजनाकार एक जर्जर राजमार्ग प्रणाली को ठीक करने के लिए नकदी खोजने के लिए संघर्ष कर रहे हैं. कई लोगों को एक छोटे से ब्लैक बॉक्स में समाधान दिखाई देने लगा है जो आपकी कार के डैशबोर्ड से अच्छी तरह से फिट बैठता है.
"The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in Washington and state planning offices to overhaul the outdated system for funding America's major roads.","यह डिवाइस, जो मोटर-चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है, आजकल अमेरिका की प्रमुख सड़कों का वित्त-पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है।",एक मोटर चालक द्वारा चलाए जाने वाले हर मील का पता लगाने और नौकरशाहों को उस सूचना को प्रेषित करने वाले उपकरण वाशिंगटन और राज्य योजना कार्यालयों में अमेरिका की प्रमुख सड़कों के वित्तपोषण के लिए पुरानी प्रणाली को फिर से तैयार करने के एक विवादास्पद प्रयास के केंद्र में हैं.
The usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है।,राजमार्ग नियोजन के सामान्य रूप से सुस्त क्षेत्र ने अचानक तीव्र बहस और रंगारंग गठबंधनों को जन्म दिया है.
"Libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax bill.","आपने द्वारा ड्राइव किए गए मील, तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं।",लिबर्टेरियन पर्यावरण समूहों के साथ लॉबिंग में शामिल हो गए हैं ताकि सरकार को छोटे डिब्बों का उपयोग उन मीलों का ट्रैक रखने के लिए करने की अनुमति दी जा सके जो आप चलाते हैं और संभवतः आप उन्हें कहाँ चलाते हैं- फिर कर बिल तैयार करने के लिए जानकारी का उपयोग करें.
The tea party is aghast.,चाय पार्टी भौचक्की है।,चाय की पार्टी चौंका देती है.
"The American Civil Liberties Union is deeply concerned, too, raising a variety of privacy issues.",अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है।,अमेरिकन सिविल लिबर्टीज यूनियन भी गोपनीयता के विभिन्न मुद्दों को उठाते हुए बहुत चिंतित है.
"And while Congress can't agree on whether to proceed, several states are not waiting.","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं, बहुत से राज्य प्रतीक्षा नहीं कर रहे।",जबकि कांग्रेस इस बात पर सहमत नहीं हो सकती कि आगे बढ़ना है या नहीं. कई राज्य अभी इंतजार नहीं कर रहे हैं.
"They are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं, जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे।",वे इस बात की खोज कर रहे हैं कि कैसे अगले दशक में वे एक ऐसी प्रणाली की ओर बढ़ सकते हैं जिसमें चालक प्रति मील सड़क का भुगतान करते हैं.
"Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.","हजारों मोटर-चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है, जिसमें से कुछ में जी.पी.एस. मॉनीटरिंग है।",हजारों मोटर चालकों ने पहले ही परीक्षण ड्राइव के लिए ब्लैक बॉक्स ले लिए हैं. जिनमें से कुछ में जीपीएस मॉनिटरिंग है.
